Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
56	-1178090.2	689681.06	646.47504	-1700784.8	269.5	-257.65717	0.0005411237	-257.64017	-257.65723	228000	1.7881393e-07	58639938000.0	-0.02101785	-208501.38	0.0045860964	0.0	68.25193476676941
57	-1655171.0	756596.56	-608209.2	-3594804.8	24.333334	-259.85977	0.0006598104	-259.84995	-259.85992	232000	3.3527613e-08	136633620000.0	-0.025873046	-529920.0	0.005039867	0.0	69.31834578514099
58	-1451261.8	610553.5	668.3951	-2590413.8	81.388885	-263.47324	0.0019299036	-263.4343	-263.4736	236000	5.9604645e-08	155032490000.0	-0.02525561	-1310313.5	0.0067588454	0.0	70.45033288002014
59	-1576974.9	630517.06	-2872.8958	-2963144.5	94.333336	-269.24197	0.001075081	-269.22452	-269.2422	240000	6.7055225e-08	183137930000.0	-0.0014484338	-1582325.9	0.0055346675	0.0	71.6299250125885
60	-804227.5	627979.56	778.46643	-1531130.2	361.5	-275.57104	0.0031823586	-275.5078	-275.57138	244000	-1.4901161e-08	24930232000.0	-0.023077674	-122207.08	0.0044102557	0.0	73.11648392677307
61	-1435930.9	253079.44	-919920.25	-1967923.6	36.727272	-277.65057	0.0012275251	-277.58282	-277.65076	248000	1.2665987e-07	85864230000.0	-0.02350014	-715776.0	0.005002645	0.0	74.23954892158508
62	-1641694.8	192228.31	-1341842.1	-1910294.4	20.2	-281.81787	0.00036248504	-281.80762	-281.818	252000	1.3038516e-08	90735590000.0	-0.027951023	-475648.0	0.005928836	0.0	75.35278797149658
63	-348445.66	603979.3	358.18326	-1394568.5	761.5	-285.46606	0.000108016706	-285.46283	-285.46616	256000	0.0	13379361000.0	-0.017822757	-23066.94	0.0023623307	0.0	76.5028977394104
64	-639806.44	1107696.4	822.9175	-2558392.0	756.0	-286.45993	0.00012424627	-286.4572	-286.46	260000	7.450581e-09	17752304000.0	-0.015998553	-9977.256	0.0007604807	0.0	77.57350182533264
65	-1714496.2	562318.75	635.7802	-3038791.2	65.11539	-287.00793	0.00060888514	-286.99512	-287.00812	264000	8.195639e-08	324539970000.0	-0.0145011395	-4491521.5	0.006798765	0.0	78.61768102645874
66	-1554604.0	820951.5	895.63983	-2819816.0	124.7	-297.41168	0.0010651697	-297.3824	-297.4118	268000	-4.4703484e-08	98386444000.0	-0.015367515	-550164.25	0.005245949	0.0	79.7492311000824
67	-1312269.9	591175.5	-3281.0403	-1877536.4	112.454544	-301.6245	0.0002584931	-301.618	-301.6246	272000	-3.7252903e-09	74194240000.0	-0.0009573214	-375405.94	0.0013795098	1.0	80.81818008422852
68	-1323197.5	533962.25	-238209.22	-1755348.4	25.636364	-304.7639	0.00047862128	-304.75558	-304.764	276000	-9.313226e-09	77368590000.0	-0.028490322	-416256.0	0.0069396375	0.0	81.88909578323364
69	-1673864.9	347421.12	-1289299.0	-2440092.8	21.625	-308.07693	0.00024427316	-308.07208	-308.07693	280000	1.1175871e-08	88975880000.0	-0.023247575	-388096.0	0.00487764	0.0	82.96134901046753
70	-1956758.0	1210033.8	-1058191.1	-6143720.0	34.214287	-311.32407	0.00046396206	-311.3183	-311.32413	284000	-3.7252903e-08	491368840000.0	-0.018809985	-3486720.0	0.0038031128	0.0	84.4400269985199
71	-1821967.4	576395.2	-608468.7	-2451455.8	47.5	-320.54776	0.00045668005	-320.53882	-320.54785	288000	5.2154064e-08	134831290000.0	-0.015904257	-1070080.0	0.004003674	0.0	85.5653018951416
72	-1065794.4	980742.7	868.7357	-2584376.0	443.42856	-325.9375	0.00012341804	-325.93497	-325.93753	292000	1.0430813e-07	74640750000.0	-0.0102136955	-203449.34	0.0020874285	2.0	86.64787793159485
73	-444469.47	608763.5	-628.91254	-1477560.1	523.75	-328.37976	9.603829e-05	-328.37778	-328.3798	296000	-1.8626451e-09	8488509000.0	-0.007980971	-12180.359	0.0023084874	0.0	87.75609111785889
74	-2105101.2	1440553.5	-3884.9028	-7449113.0	69.90909	-329.0575	0.0016597767	-329.00287	-329.0578	300000	5.2154064e-08	500046700000.0	-0.012189083	-4033833.5	0.005507296	0.0	88.75296878814697
75	-2024385.8	1324722.2	-13117.607	-6384436.5	87.53333	-338.41464	0.00031937961	-338.40793	-338.41476	304000	-1.4156103e-07	287361860000.0	-0.004980743	-1558155.1	0.0075524906	0.0	89.89434695243835
76	-1520132.0	1214521.4	836.06854	-3481430.2	248.88889	-344.72794	0.0003630662	-344.722	-344.72806	308000	-7.450581e-09	124378290000.0	-0.010259818	-510624.25	0.0039594383	0.0	91.24495100975037
77	-350656.28	606755.6	822.0786	-1401586.6	754.0	-348.3642	7.311492e-05	-348.3619	-348.36417	312000	1.8626451e-09	5381744600.0	-0.016208049	-2241.4258	0.005809433	0.0	92.48322296142578
78	-1870055.0	915751.1	-226151.8	-4263957.0	25.25	-348.92633	0.00026603165	-348.91995	-348.92648	316000	-1.3411045e-07	232091650000.0	-0.008974142	-1085440.0	0.007981649	0.0	93.63663673400879
79	-1497536.8	830782.06	502.0164	-2451253.2	212.8	-353.85025	0.00021158996	-353.84457	-353.85028	320000	2.4214387e-08	38996250000.0	-0.025066102	-79029.94	0.003882834	0.0	94.82672882080078
80	-1679675.5	873386.9	551.27545	-4210726.5	87.76471	-355.5248	0.00059967506	-355.5155	-355.52493	324000	-8.195639e-08	212568240000.0	-0.010782348	-1698574.9	0.006404938	0.0	96.23037886619568
81	-1522229.0	520006.25	-227035.22	-2290663.8	28.380953	-361.8025	0.00031852993	-361.7971	-361.8026	328000	-3.7252903e-08	220274380000.0	-0.013220765	-2610688.0	0.0047616377	0.0	97.35055685043335
82	-1886603.4	757525.56	-480781.4	-4071444.0	32.285713	-369.63037	0.00033226132	-369.6255	-369.63058	332000	-1.5646219e-07	322478470000.0	-0.018038608	-3760128.0	0.00649391	0.0	98.49880790710449
